x0,y0,x1,y1,word
107.40,27.35,110.64,34.52,1
314.28,27.35,317.52,34.52,2
521.88,27.35,525.12,34.52,3
728.88,27.35,732.12,34.52,4
84.84,59.03,97.07,66.20,U1B
380.52,59.03,392.75,66.20,U1C
648.00,59.75,660.60,66.92,U1G
27.84,66.95,56.61,74.12,SPI_MOSI
69.96,66.95,80.04,74.12,P16
172.08,66.95,190.80,74.12,BANK
192.49,66.95,198.97,74.12,13
431.76,66.95,450.48,74.12,BANK
452.17,66.95,458.65,74.12,33
662.52,66.95,677.29,74.12,Bank
678.93,66.95,685.41,74.12,13
90.60,70.55,126.23,77.72,IO_L24N_T3
27.84,74.15,64.20,81.32,CTRL_OUT4
70.08,74.15,80.16,81.32,P15
228.36,74.15,239.16,81.32,R19
244.20,74.15,275.18,81.32,RF_RESET
366.72,74.15,375.72,81.32,J16
516.84,74.15,527.86,81.32,G14
711.48,74.15,719.40,81.32,V5
90.60,77.75,125.16,84.92,IO_L24P_T3
204.36,77.75,217.68,84.92,IO_0
386.28,77.75,421.91,84.92,IO_L24N_T3
492.84,77.75,506.16,84.92,IO_0
678.72,77.75,700.67,84.92,IO_L6N
27.84,81.35,50.16,88.52,TXNRX
70.08,81.35,80.16,88.52,P18
228.36,81.35,238.80,88.52,T19
244.20,81.35,261.48,88.52,SYNC
364.44,81.35,375.60,88.52,K16
516.84,81.35,525.84,88.52,J15
711.48,81.35,719.40,88.52,U7
90.60,84.95,126.23,92.12,IO_L23N_T3
201.36,84.95,217.92,92.12,IO_25
386.28,84.95,420.84,92.12,IO_L24P_T3
489.72,84.95,506.28,92.12,IO_25
676.68,84.95,700.54,92.12,IO_L11P
11.16,88.55,15.84,95.72,A
68.88,88.55,80.04,95.72,N17
228.36,88.55,238.54,95.72,T11
244.20,88.55,270.84,95.72,TX_D4_P
363.60,88.55,375.84,95.72,M15
516.84,88.55,527.64,95.72,C20
711.48,88.55,719.40,95.72,V7
825.96,88.55,830.64,95.72,A
90.60,92.27,125.16,99.44,IO_L23P_T3
186.24,92.27,217.56,99.44,IO_L1P_T0
386.28,92.27,421.91,99.44,IO_L23N_T3
458.88,92.27,506.04,99.44,IO_L1P_T0_AD0
675.48,92.27,700.41,99.44,IO_L11N
27.84,95.87,55.92,103.04,RX_D5_N
67.44,95.87,80.04,103.04,W19
228.36,95.87,238.80,103.04,T10
244.20,95.87,271.92,103.04,TX_D4_N
363.36,95.87,375.60,103.04,M14
516.84,95.87,527.64,103.04,B20
711.48,95.87,718.68,103.04,T9
90.60,99.47,126.23,106.64,IO_L22N_T3
185.16,99.47,217.55,106.64,IO_L1N_T0
386.28,99.47,420.84,106.64,IO_L23P_T3
457.80,99.47,506.03,106.64,IO_L1N_T0_AD0
676.68,99.47,700.80,106.64,IO_L12P
27.84,103.07,54.84,110.24,RX_D5_P
67.56,103.07,80.16,110.24,W18
228.36,103.07,238.80,110.24,T12
244.20,103.07,270.84,110.24,TX_D3_P
365.40,103.07,375.84,110.24,L15
516.84,103.07,527.64,110.24,B19
711.48,103.07,722.64,110.24,U10
90.60,106.67,125.16,113.84,IO_L22P_T3
186.24,106.67,217.56,113.84,IO_L2P_T0
386.28,106.67,421.91,113.84,IO_L22N_T3
459.00,106.67,506.16,113.84,IO_L2P_T0_AD8
675.48,106.67,700.67,113.84,IO_L12N
27.84,110.27,53.41,117.44,SPI_CLK
69.00,110.27,80.16,117.44,V18
228.36,110.27,239.52,117.44,U12
244.20,110.27,271.92,117.44,TX_D3_N
365.16,110.27,375.60,117.44,L14
516.84,110.27,528.00,117.44,A20
711.48,110.27,719.40,117.44,Y7
90.60,113.87,142.43,121.04,IO_L21N_T3_DQS
185.16,113.87,217.55,121.04,IO_L2N_T0
386.28,113.87,420.84,121.04,IO_L22P_T3
457.92,113.87,506.15,121.04,IO_L2N_T0_AD8
676.68,113.87,700.80,121.04,IO_L12P
27.84,117.47,56.61,124.64,SPI_MISO
68.88,117.47,80.04,124.64,V17
228.36,117.47,239.52,124.64,U13
244.20,117.47,270.84,124.64,TX_D5_P
364.44,117.47,375.60,124.64,N16
516.84,117.47,527.28,124.64,E17
711.48,117.47,719.40,124.64,Y6
90.60,121.07,141.36,128.24,IO_L21P_T3_DQS
170.16,121.07,217.68,128.24,IO_L3P_T0_DQS
386.28,121.07,438.11,128.24,IO_L21N_T3_DQS
458.52,121.07,506.04,128.24,IO_L3P_T0_DQS
675.48,121.07,700.67,128.24,IO_L12N
27.84,124.67,55.92,131.84,RX_D3_N
69.36,124.67,80.16,131.84,R18
228.36,124.67,239.52,131.84,V13
244.20,124.67,271.92,131.84,TX_D5_N
364.68,124.67,375.84,131.84,N15
516.84,124.67,528.00,131.84,D18
711.48,124.67,719.40,131.84,Y9
90.60,128.27,126.23,135.44,IO_L20N_T3
169.08,128.27,217.67,135.44,IO_L3N_T0_DQS
386.28,128.27,437.04,135.44,IO_L21P_T3_DQS
457.44,128.27,506.03,135.44,IO_L3N_T0_DQS
676.68,128.27,700.80,135.44,IO_L13P
27.84,131.87,54.84,139.04,RX_D3_P
69.60,131.87,80.04,139.04,T17
228.36,131.87,239.52,139.04,V12
244.20,131.87,270.84,139.04,TX_D1_P
366.60,131.87,375.60,139.04,J14
516.84,131.87,528.00,139.04,D19
711.48,131.87,719.40,139.04,Y8
90.60,135.47,125.16,142.64,IO_L20P_T3
186.24,135.47,217.56,142.64,IO_L4P_T0
386.28,135.47,421.91,142.64,IO_L20N_T3
474.72,135.47,506.04,142.64,IO_L4P_T0
675.48,135.47,700.67,142.64,IO_L13N
27.84,139.07,48.38,146.24,SPI_CS
69.24,139.07,80.04,146.24,R17
228.36,139.07,240.96,146.24,W13
244.20,139.07,271.92,146.24,TX_D1_N
323.52,139.07,353.40,146.24,CTRL_IN1
364.44,139.07,375.60,146.24,K14
516.84,139.07,528.00,146.24,D20
711.48,139.07,719.40,146.24,V8
90.60,142.67,146.03,149.84,IO_L19N_T3_VREF
185.16,142.67,217.55,149.84,IO_L4N_T0
386.28,142.67,420.84,149.84,IO_L20P_T3
473.64,142.67,506.03,149.84,IO_L4N_T0
676.68,142.67,700.80,149.84,IO_L14P
27.84,146.27,57.35,153.44,CLK_OUT
69.24,146.27,80.04,153.44,R16
228.36,146.27,238.80,153.44,T14
244.20,146.27,280.56,153.44,CTRL_OUT3
364.68,146.27,375.70,153.44,G15
516.84,146.27,527.28,153.44,E18
711.48,146.27,720.84,153.44,W8
90.60,149.87,125.16,157.04,IO_L19P_T3
186.24,149.87,217.56,157.04,IO_L5P_T0
386.28,149.87,441.71,157.04,IO_L19N_T3_VREF
474.72,149.87,506.04,157.04,IO_L5P_T0
675.48,149.87,700.67,157.04,IO_L14N
27.84,153.47,69.96,160.64,TX_FRAME_N
67.44,153.47,80.04,160.64,W16
228.36,153.47,238.80,160.64,T15
244.20,153.47,269.75,160.64,ENABLE
364.68,153.47,375.84,160.64,H15
516.84,153.47,527.28,160.64,E19
711.48,153.47,724.08,160.64,W10
90.60,157.07,126.23,164.24,IO_L18N_T2
185.16,157.07,217.55,164.24,IO_L5N_T0
386.28,157.07,420.84,164.24,IO_L19P_T3
473.64,157.07,506.03,164.24,IO_L5N_T0
676.68,157.07,700.80,164.24,IO_L15P
27.84,160.67,68.88,167.84,TX_FRAME_P
68.88,160.67,80.04,167.84,V16
228.36,160.67,238.44,167.84,P14
364.44,160.67,375.46,167.84,G20
516.84,160.67,526.92,167.84,F16
711.48,160.67,720.84,167.84,W9
90.60,164.27,125.16,171.44,IO_L18P_T2
186.24,164.27,217.56,171.44,IO_L6P_T0
386.28,164.27,421.91,171.44,IO_L18N_T2
474.72,164.27,506.04,171.44,IO_L6P_T0
675.48,164.27,700.67,171.44,IO_L15N
27.84,167.99,55.92,175.16,RX_D0_N
68.88,167.99,80.04,175.16,Y19
228.36,167.99,239.16,175.16,R14
244.20,167.99,274.08,175.16,CTRL_IN2
364.56,167.99,375.58,175.16,G19
516.84,167.99,526.92,175.16,F17
711.48,167.99,719.40,175.16,U9
90.60,171.59,126.23,178.76,IO_L17N_T2
165.36,171.59,217.55,178.76,IO_L6N_T0_VREF
386.28,171.59,420.84,178.76,IO_L18P_T2
453.84,171.59,506.03,178.76,IO_L6N_T0_VREF
